{'loss': 0.8292, 'learning_rate': 4.096053369009094e-05, 'epoch': 0.65}
{'loss': 0.8305, 'learning_rate': 4.084754036121707e-05, 'epoch': 0.66}
{'loss': 0.8296, 'learning_rate': 4.073454703234321e-05, 'epoch': 0.66}
{'loss': 0.8284, 'learning_rate': 4.062155370346935e-05, 'epoch': 0.67}
{'loss': 0.8279, 'learning_rate': 4.050856037459548e-05, 'epoch': 0.67}
{'loss': 0.8248, 'learning_rate': 4.039556704572162e-05, 'epoch': 0.68}
{'loss': 0.8221, 'learning_rate': 4.0282573716847763e-05, 'epoch': 0.69}
{'loss': 0.8219, 'learning_rate': 4.01695803879739e-05, 'epoch': 0.69}
{'loss': 0.8231, 'learning_rate': 4.005658705910003e-05, 'epoch': 0.7}
{'loss': 0.8189, 'learning_rate': 3.994359373022617e-05, 'epoch': 0.71}
{'loss': 0.8197, 'learning_rate': 3.983060040135231e-05, 'epoch': 0.71}
{'loss': 0.8218, 'learning_rate': 3.971760707247844e-05, 'epoch': 0.72}
{'loss': 0.8119, 'learning_rate': 3.960461374360458e-05, 'epoch': 0.73}
{'loss': 0.8193, 'learning_rate': 3.949162041473072e-05, 'epoch': 0.73}
{'loss': 0.8148, 'learning_rate': 3.937862708585685e-05, 'epoch': 0.74}
{'loss': 0.8103, 'learning_rate': 3.926563375698299e-05, 'epoch': 0.75}
{'loss': 0.8147, 'learning_rate': 3.9152640428109125e-05, 'epoch': 0.75}
{'loss': 0.8101, 'learning_rate': 3.903964709923526e-05, 'epoch': 0.76}
{'loss': 0.8058, 'learning_rate': 3.89266537703614e-05, 'epoch': 0.77}
{'loss': 0.8062, 'learning_rate': 3.881366044148754e-05, 'epoch': 0.77}
{'loss': 0.8059, 'learning_rate': 3.870066711261368e-05, 'epoch': 0.78}
{'loss': 0.8129, 'learning_rate': 3.858767378373981e-05, 'epoch': 0.78}
{'loss': 0.806, 'learning_rate': 3.847468045486595e-05, 'epoch': 0.79}
{'loss': 0.8048, 'learning_rate': 3.8361687125992085e-05, 'epoch': 0.8}
{'loss': 0.8057, 'learning_rate': 3.824869379711822e-05, 'epoch': 0.8}
{'loss': 0.8032, 'learning_rate': 3.8135700468244355e-05, 'epoch': 0.81}
{'loss': 0.8013, 'learning_rate': 3.802270713937049e-05, 'epoch': 0.82}
{'loss': 0.8027, 'learning_rate': 3.7909713810496624e-05, 'epoch': 0.82}
{'loss': 0.8046, 'learning_rate': 3.779672048162277e-05, 'epoch': 0.83}
{'loss': 0.8027, 'learning_rate': 3.768372715274891e-05, 'epoch': 0.84}
{'loss': 0.8003, 'learning_rate': 3.7570733823875046e-05, 'epoch': 0.84}
{'loss': 0.7947, 'learning_rate': 3.745774049500118e-05, 'epoch': 0.85}
{'loss': 0.7981, 'learning_rate': 3.7344747166127315e-05, 'epoch': 0.86}
{'loss': 0.7997, 'learning_rate': 3.7231753837253453e-05, 'epoch': 0.86}
{'loss': 0.7977, 'learning_rate': 3.7118760508379585e-05, 'epoch': 0.87}
{'loss': 0.7922, 'learning_rate': 3.700576717950572e-05, 'epoch': 0.88}
{'loss': 0.7958, 'learning_rate': 3.689277385063186e-05, 'epoch': 0.88}
{'loss': 0.7929, 'learning_rate': 3.677978052175799e-05, 'epoch': 0.89}
{'loss': 0.7921, 'learning_rate': 3.666678719288413e-05, 'epoch': 0.9}
{'loss': 0.7917, 'learning_rate': 3.655379386401027e-05, 'epoch': 0.9}
{'loss': 0.7913, 'learning_rate': 3.644080053513641e-05, 'epoch': 0.91}
{'loss': 0.7892, 'learning_rate': 3.6327807206262545e-05, 'epoch': 0.91}
