{'loss': 12.8096, 'learning_rate': 2.5e-05, 'epoch': 0.01}
{'loss': 2.6168, 'learning_rate': 0.00023878264146418753, 'epoch': 1.63}
{'loss': 2.6185, 'learning_rate': 0.00023771207851936864, 'epoch': 1.63}
{'loss': 2.6205, 'learning_rate': 0.00023664151557454971, 'epoch': 1.64}
{'loss': 2.6214, 'learning_rate': 0.00023557095262973082, 'epoch': 1.64}
{'loss': 2.6226, 'learning_rate': 0.00023450038968491192, 'epoch': 1.65}
{'loss': 2.6176, 'learning_rate': 0.00023342982674009303, 'epoch': 1.66}
{'loss': 2.619, 'learning_rate': 0.0002323592637952741, 'epoch': 1.66}
{'loss': 2.6162, 'learning_rate': 0.00023128870085045518, 'epoch': 1.67}
{'loss': 2.6203, 'learning_rate': 0.00023021813790563632, 'epoch': 1.68}
{'loss': 2.6192, 'learning_rate': 0.0002291475749608174, 'epoch': 1.68}
{'loss': 2.6163, 'learning_rate': 0.0002280770120159985, 'epoch': 1.69}
{'loss': 2.6153, 'learning_rate': 0.0002270064490711796, 'epoch': 1.69}
{'loss': 2.6213, 'learning_rate': 0.00022593588612636068, 'epoch': 1.7}
{'loss': 2.6155, 'learning_rate': 0.00022486532318154179, 'epoch': 1.71}
{'loss': 2.6141, 'learning_rate': 0.00022379476023672286, 'epoch': 1.71}
{'loss': 2.6173, 'learning_rate': 0.000222724197291904, 'epoch': 1.72}
{'loss': 2.6133, 'learning_rate': 0.00022165363434708507, 'epoch': 1.72}
{'loss': 2.6168, 'learning_rate': 0.00022058307140226615, 'epoch': 1.73}
{'loss': 2.6143, 'learning_rate': 0.00021951250845744728, 'epoch': 1.74}
{'loss': 2.6187, 'learning_rate': 0.00021844194551262836, 'epoch': 1.74}
{'loss': 2.6113, 'learning_rate': 0.00021737138256780947, 'epoch': 1.75}
{'loss': 2.6139, 'learning_rate': 0.00021630081962299057, 'epoch': 1.76}
{'loss': 2.6109, 'learning_rate': 0.00021523025667817165, 'epoch': 1.76}
{'loss': 2.6139, 'learning_rate': 0.00021415969373335275, 'epoch': 1.77}
{'loss': 2.6076, 'learning_rate': 0.00021308913078853383, 'epoch': 1.77}
{'loss': 2.6108, 'learning_rate': 0.00021201856784371496, 'epoch': 1.78}
{'loss': 2.6088, 'learning_rate': 0.00021094800489889604, 'epoch': 1.79}
{'loss': 2.6124, 'learning_rate': 0.00020987744195407712, 'epoch': 1.79}
{'loss': 2.6161, 'learning_rate': 0.00020880687900925825, 'epoch': 1.8}
